ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,City,County,State,Zipcode,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Astronomical_Twilight
A-512273,2,3/3/2019 3:11,3/3/2019 3:40,40.603004,-74.316261,0,Right lane blocked due to accident on Garden State Pkwy Southbound in Madison Hill.,,Garden State Pkwy S,Colonia,Middlesex,NJ,7067,3/3/2019 3:15,36,,78,30.09,10,Calm,,,Night
A-512274,2,3/3/2019 3:28,3/3/2019 3:58,40.624691,-74.306763,0,Two lanes blocked due to accident on Garden State Pkwy Northbound at Exit 135 CR-613 Brant Ave.,,Garden State Pkwy N,Clark,Union,NJ,7066,3/3/2019 3:35,34.2,,82,30.1,10,Calm,,,Night
A-512279,4,3/3/2019 6:05,3/3/2019 6:35,40.896904,-74.222672,2.019999981,Accident on I-80 Westbound from Exits 56 56A 56B CR-636 Squirrelwood Rd to Exits 55A 55B CR-646 Union Blvd.,659,Union Blvd,Totowa,Passaic,NJ,7512,3/3/2019 5:53,36,32.1,62,30.15,10,North,4.6,,Day
A-512280,2,3/3/2019 6:24,3/3/2019 6:54,39.813938,-75.167709,0,Right lane blocked due to accident on New Jersey Tpke Westbound in Woodbury Heights.,,New Jersey Tpke S,Woodbury,Gloucester,NJ,8096,3/3/2019 6:54,37,33.3,65,30.15,10,NW,4.6,,Day
A-512283,3,3/3/2019 6:48,3/3/2019 7:17,40.896011,-74.200729,0,Three lanes blocked due to accident on Brophy Ln Westbound at CR-639 Mcbride Ave.,1,Brophy Ln,Woodland Park,Passaic,NJ,07424-2752,3/3/2019 6:53,34,,67,30.17,10,Calm,,,Day
A-512292,2,3/3/2019 15:03,3/3/2019 15:32,40.699383,-74.252716,0,2 Right lane blocked due to accident on Garden State Pkwy Southbound at Exit 141 CR-630 Vauxhall Rd.,,Garden State Pkwy S,Union,Union,NJ,7083,3/3/2019 14:51,42.1,37.1,49,30.03,10,SE,8.1,,Day
A-512296,2,3/3/2019 16:50,3/3/2019 17:19,40.752224,-74.211494,0,Right lane blocked due to accident on Garden State Pkwy Southbound at Exit 145 I-280.,18,Whittlesey Ave,East Orange,Essex,NJ,7018,3/3/2019 16:51,36,28.5,73,30.03,2,SSE,10.4,0,Day
A-512299,3,3/3/2019 17:13,3/3/2019 17:41,39.903214,-75.117714,0,Left lane blocked due to accident on I-76 Eastbound at Broadway.,,Walt Whitman Brg,Gloucester City,Camden,NJ,8030,3/3/2019 17:17,33.1,28.7,92,29.97,0.8,ESE,4.6,0.04,Day
A-512300,2,3/3/2019 17:18,3/3/2019 17:47,41.020836,-74.06926,0,Left lane blocked due to accident on Garden State Pkwy Southbound at Exit 171 CR-71 Glen Rd.,,Garden State Pkwy S,Woodcliff Lake,Bergen,NJ,7677,3/3/2019 17:10,37,31,79,30.02,2,SSE,8.1,0,Day
A-512303,3,3/3/2019 17:34,3/3/2019 18:03,40.745678,-74.160095,0,Left lane blocked due to accident on I-280 Westbound at Exit 16 CR-508 Harrison Ave.,,I-280 W,Harrison,Hudson,NJ,7029,3/3/2019 17:51,34,28.8,92,29.99,1.5,East,5.8,0.03,Day
A-512305,2,3/3/2019 17:47,3/3/2019 18:16,39.649727,-75.120331,0,Lane blocked due to accident on NJ-55 Southbound at Exit 45 CR-553 Buck Rd.,,NJ-55 S,Monroeville,Gloucester,NJ,8343,3/3/2019 17:54,33.1,30,92,29.95,0.8,ESE,3.5,0.11,Day
A-512306,3,3/3/2019 18:54,3/3/2019 19:22,40.853813,-73.963242,1.610000014,Left lane blocked due to accident on I-95 George Washington Bridge Lower Southbound from New York to New Jersey.,,I-95 S,Fort Lee,Bergen,NJ,7024,3/3/2019 18:51,34,,92,29.95,1,Calm,,0.06,Day
A-512307,3,3/3/2019 19:03,3/3/2019 19:32,40.805225,-74.078506,0,Left lane blocked due to accident on I-95 New Jersey Turnpike - Western Spur Northbound at Exit 16W NJ-3.,99,Meadowlands Plz,East Rutherford,Bergen,NJ,07073-2137,3/3/2019 19:02,34,,92,29.95,0.8,Calm,,0.01,Day
A-512308,3,3/3/2019 19:50,3/3/2019 20:19,39.914104,-75.009315,0,Left lane blocked due to accident on NJ-70 Marlton Pike Eastbound at NJ-154 Brace Rd.,6,State Highway 70,Cherry Hill,Camden,NJ,08034-2401,3/3/2019 19:49,33.8,30.8,87,29.93,2.5,North,3.5,,Night
A-512310,3,3/3/2019 19:51,3/3/2019 20:20,39.896877,-74.991463,0,Lane blocked due to accident on I-295 Northbound in Barclay Farm.,,I-295 N,Cherry Hill,Camden,NJ,8034,3/3/2019 19:49,33.8,30.8,87,29.93,2.5,North,3.5,,Night
A-512311,3,3/3/2019 19:52,3/3/2019 20:21,39.966461,-74.912781,0,Left lane blocked due to accident on I-295 Southbound at Exits 40 40A 40B Marter Ave.,,I-295 S,Mount Laurel,Burlington,NJ,8054,3/3/2019 19:54,33.1,28.7,92,29.93,2,NNE,4.6,,Night
A-512312,3,3/3/2019 19:52,3/3/2019 20:22,39.942631,-75.113312,0,Right lane blocked due to accident on I-676 Northbound at Exit 5A CR-537 Federal St.,,Martin Luther King Blvd,Camden,Camden,NJ,8103,3/3/2019 19:54,33.1,26.9,96,29.93,4,NNE,6.9,0.1,Night
A-512313,3,3/3/2019 19:53,3/3/2019 20:23,40.34877,-74.476646,0,Left lane blocked due to accident on I-95 New Jersey Turnpike Southbound at Exit 8A NJ-32 Forsgate Dr.,,New Jersey Tpke S,Monroe Township,Middlesex,NJ,8831,3/3/2019 19:53,35.1,30.1,89,29.92,0.8,ENE,5.8,0,Night
A-512314,3,3/3/2019 20:10,3/3/2019 20:39,40.749733,-74.180344,0,Right lane blocked due to accident on I-280 Eastbound at Exit 14 Clifton Ave.,,I-280 E,Newark,Essex,NJ,7103,3/3/2019 19:51,33.1,30,96,29.97,0.5,NNE,3.5,0.1,Night
A-512315,3,3/3/2019 20:17,3/3/2019 20:46,40.704556,-74.06488,0,2 Toll lane blocked due to accident on I-78 New Jersey Turnpike - Hudson County Extension Westbound at Jersey City Blvd.,,I-78 W,Jersey City,Hudson,NJ,7305,3/3/2019 20:18,33.8,28.6,100,29.96,1.5,ENE,5.8,0.02,Night
A-512319,2,3/3/2019 20:33,3/3/2019 21:03,39.93116,-74.954659,0,Left lane blocked due to accident on New Jersey Tpke Northbound at Exit 4 NJ-73.,,New Jersey Tpke S,Mount Laurel,Burlington,NJ,8054,3/3/2019 20:30,33.1,26.9,92,29.92,3,North,6.9,0.03,Night
